"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-08-06 20:52:51","10.1021/j100139a032",5994768,27567549,"Canada","Toronto","43.653226","-79.3831843"
"2017-10-06 03:37:40","10.1126/science.aaa9092",14038537,38241778,"Canada","Montréal","45.5016889","-73.567256"
"2017-02-19 16:48:00","10.1080/14616700802114217",2736787,424236,"Canada","Montréal","45.5016889","-73.567256"
"2017-07-09 08:32:51","10.1021/j150610a026",1159141,19891403,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 10:08:54","10.1002/sia.6139",5995376,19907473,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 10:40:35","10.1149/1.2069301",5993951,9292758,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-25 20:07:31","10.1145/954587.954588",11922484,31324508,"Canada","Guelph","43.5448048","-80.2481666"
"2017-08-21 18:34:43","10.1093/beheco/arx008",10442142,30479866,"Canada","Squamish","49.7016339","-123.1558121"
"2017-05-03 11:38:06","10.1021/jp809992g",5926642,9300423,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-07 13:33:59","10.1080/14786430601032386",5994619,33495889,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-12 04:26:38","10.1093/beheco/arx008",6476470,20442911,"Canada","Squamish","49.7016339","-123.1558121"
"2017-02-19 08:41:26","10.1080/14616700802114217",2108078,424236,"Canada","Montréal","45.5016889","-73.567256"
"2017-07-02 21:13:23","10.1002/sia.6139",1159141,18309721,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 23:42:48","10.1021/jp501892x",6018251,9235647,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 11:42:52","10.1149/1.2069301",6033294,9301034,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 21:13:08","10.1021/ja025109g",5996253,9363630,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 19:19:33","10.1002/anie.201605430",376168,9351116,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-23 23:25:31","10.2979/vic.2010.52.4.651",10,2014805,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-07 15:27:34","10.1021/j100552a012",5998246,33512196,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-24 11:32:36","10.2979/jfolkrese.51.2.125",10,2048263,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-21 22:41:46","10.1080/14616700802114217",9564018,424236,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-26 03:54:03","10.2307/1547968",4588723,6728590,"Canada","Kitchener","43.450301","-80.4831917"
"2017-08-06 22:45:21","10.1063/1.2123369",1873442,27583578,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-16 19:11:03","10.1056/NEJMoa1600869",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 21:48:42","10.1002/anie.201605430",1953136,9367768,"Canada","Ajax","43.8508553","-79.0203732"
"2017-03-30 21:04:36","10.1103/PhysRevLett.98.068103",1255169,7058753,"Canada","Lethbridge","49.69349","-112.84184"
"2017-05-03 09:23:34","10.1021/jp809992g",4341000,9283117,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 22:28:46","10.1039/b509555g",6039374,9230074,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-13 08:45:21","10.1038/nchembio.2188",5435180,8569356,"Canada","Cayuga","42.9503552","-79.8558122"
"2017-10-01 14:52:42","10.1021/jp9813342",5996350,37728164,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 23:54:47","10.1021/jp501892x",6039374,9236461,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-04 20:25:25","10.1111/hypa.12327",1907380,548366,"Canada","Montreal","45.5016889","-73.567256"
"2017-08-06 04:52:09","10.1093/beheco/arx008",10442142,27414765,"Canada","Squamish","49.7016339","-123.1558121"
"2017-09-07 16:50:25","10.1103/PhysRevB.85.014503",5997000,33525918,"Canada","Toronto","43.653226","-79.3831843"
